Description,Vendor,Product,Severity,Attack Complexity,Attack Vector,Availability Impact,Confidentiality Impact,Integrity Impact,Privileges Required,Scope,User Interaction
"NVIDIA GPU display driver for Windows and Linux contains a vulnerability where data is written past the end or before the beginning of a buffer. A successful exploit of this vulnerability might lead to information disclosure, denial of service, or data tampering.",NVIDIA,"NVIDIA GPU Display Driver, vGPU software",HIGH,LOW,LOCAL,HIGH,NONE,HIGH,LOW,UNCHANGED,NONE
Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an improper parameter initialization vulnerability. A local low privileged attacker could potentially exploit this vulnerability to read the contents of non-SMM stack memory.,Dell,PowerEdge Platform,LOW,LOW,LOCAL,NONE,LOW,NONE,LOW,CHANGED,NONE
"Dell Digital Delivery, versions prior to 5.2.0.0, contain a Use After Free Vulnerability. A local low privileged attacker could potentially exploit this vulnerability, leading to application crash or execution of arbitrary code.",Dell,Dell Digital Delivery (D3),HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"Dell Digital Delivery, versions prior to 5.2.0.0, contain a Buffer Overflow Vulnerability. A local low privileged attacker could potentially exploit this vulnerability, leading to arbitrary code execution and/or privilege escalation.",Dell,Dell Digital Delivery (D3),HIGH,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"Dell Storage Resource Manager, 4.9.0.0 and below, contain(s) a Session Fixation Vulnerability in SRM Windows Host Agent. An adjacent network unauthenticated attacker could potentially exploit this vulnerability, leading to the hijack of a targeted user's application session.",Dell,Dell Storage Resource Manager,MEDIUM,HIGH,NETWORK,HIGH,NONE,NONE,NONE,UNCHANGED,NONE
"Dell BIOS contains an improper input validation vulnerability. A local authenticated malicious user with admin privileges may potentially exploit this vulnerability to modify a UEFI variable, leading to denial of service and escalation of privileges",Dell,CPG BIOS,MEDIUM,LOW,LOCAL,LOW,NONE,HIGH,HIGH,UNCHANGED,NONE
"Dell Alienware Command Center, versions 5.5.52.0 and prior, contain improper access control vulnerability, leading to Denial of Service on local system.",Dell,Alienware Command Center (AWCC),MEDIUM,HIGH,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,REQUIRED
Dell Client Platform contains an incorrect authorization vulnerability. An attacker with physical access to the system could potentially exploit this vulnerability by bypassing BIOS authorization to modify settings in the BIOS.,Dell,CPG BIOS,MEDIUM,LOW,PHYSICAL,HIGH,HIGH,HIGH,NONE,UNCHANGED,NONE
Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an Improper SMM communication buffer verification vulnerability. A local low privileged attacker could potentially exploit this vulnerability leading to arbitrary writes to SMRAM.,Dell,PowerEdge Platform,HIGH,HIGH,LOCAL,HIGH,NONE,HIGH,HIGH,CHANGED,NONE
Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain an Improper SMM communication buffer verification vulnerability. A local low privileged attacker could potentially exploit this vulnerability leading to out-of-bound read/writes to SMRAM.,Dell,PowerEdge BIOS Intel 16G,MEDIUM,HIGH,LOCAL,LOW,LOW,LOW,LOW,CHANGED,NONE
Dell PowerEdge Server BIOS and Dell Precision Rack BIOS contain a TOCTOU race condition vulnerability. A local low privileged attacker could potentially exploit this vulnerability to gain access to otherwise unauthorized resources.,Dell,PowerEdge BIOS Intel 16G,MEDIUM,HIGH,LOCAL,LOW,LOW,LOW,LOW,CHANGED,NONE
"
Dell Unity, versions prior to 5.4, contain an OS Command Injection Vulnerability in its svc_topstats utility. An authenticated attacker could potentially exploit this vulnerability, leading to the execution of arbitrary commands with elevated privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
Dell Unity, versions prior to 5.4, contains an OS Command Injection Vulnerability in its svc_acldb_dump utility. An authenticated attacker could potentially exploit this vulnerability, leading to execution of arbitrary operating system commands with root privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
Dell Unity, versions prior to 5.4, contains an OS Command Injection Vulnerability in its svc_tcpdump utility. An authenticated attacker could potentially exploit this vulnerability, leading to the execution of arbitrary OS commands with elevated privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
Dell Unity, versions prior to 5.4, contains an OS Command Injection Vulnerability in the svc_topstats utility. An authenticated attacker could potentially exploit this vulnerability, leading to the ability to overwrite arbitrary files on the file system with root privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"
Dell Unity, versions prior to 5.4, contains a Command Injection Vulnerability in svc_oscheck utility. An authenticated attacker could potentially exploit this vulnerability, leading to the ability to inject arbitrary operating system commands. This vulnerability allows an authenticated attacker to execute commands with root privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
"Dell Unity, version(s) 5.3 and prior, contain(s) an Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting') vulnerability. A low privileged attacker with remote access could potentially exploit this vulnerability, leading to Information exposure.",Dell,Unity,MEDIUM,LOW,NETWORK,NONE,HIGH,NONE,LOW,UNCHANGED,REQUIRED
"
Dell Unity, versions prior to 5.4, contains an OS Command Injection Vulnerability in its svc_cava utility. An authenticated attacker could potentially exploit this vulnerability, escaping the restricted shell and execute arbitrary operating system commands with root privileges.

",Dell,Unity,HIGH,LOW,LOCAL,HIGH,HIGH,HIGH,LOW,UNCHANGED,NONE
Dell PowerEdge Server BIOS contains an TOCTOU race condition vulnerability. A local low privileged attacker could potentially exploit this vulnerability to gain access to otherwise unauthorized resources.,Dell,PowerEdge Platform,MEDIUM,HIGH,LOCAL,LOW,LOW,LOW,LOW,CHANGED,NONE
